#segunda, 03 março 2025#
2025/03/03 13:28:25 NOTICE: Config file "/home/rothmans/.config/rclone/rclone.conf" not found - using defaults
2025/03/03 13:28:25 CRITICAL: Failed to create file system for "gDrive:/Linux/Area-de-Trabalho": didn't find section in config file ("gDrive")
#segunda, 03 março 2025#
2025/03/03 13:28:25 NOTICE: Config file "/home/rothmans/.config/rclone/rclone.conf" not found - using defaults
2025/03/03 13:28:25 CRITICAL: Failed to create file system for "gDrive:/Linux/Imagens": didn't find section in config file ("gDrive")
#segunda, 03 março 2025#
2025/03/03 17:04:23 INFO  : gDrive-Rclone/.git/logs/refs/heads: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:23 INFO  : gDrive-Rclone/.git/refs/remotes/origin: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:24 INFO  : gDrive-Rclone/.git/objects/pack: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:24 INFO  : gDrive-Rclone/.git/refs/remotes: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:24 INFO  : gDrive-Rclone/.git/refs/heads: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:24 INFO  : gDrive-Rclone/.git/logs/refs: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:24 INFO  : gDrive-Rclone/.git/objects: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:24 INFO  : gDrive-Rclone/.git/info: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:25 INFO  : gDrive-Rclone/.git/hooks: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:25 INFO  : gDrive-Rclone/.git/refs: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:25 INFO  : gDrive-Rclone/.git/logs: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:25 INFO  : gDrive-Rclone/Windows: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:25 INFO  : gDrive-Rclone/Linux: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:26 INFO  : gDrive-Rclone/.git: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:26 INFO  : gDrive-Rclone: Set directory modification time (using DirSetModTime)
2025/03/03 17:04:26 ERROR : Google drive root 'Linux/Area-de-Trabalho': not deleting directories as there were IO errors
2025/03/03 17:04:26 ERROR : Attempt 1/3 failed with 1 errors and: Post "https://www.googleapis.com/upload/drive/v3/files?alt=json&fields=id%2Cname%2Csize%2Cmd5Checksum%2Csha1Checksum%2Csha256Checksum%2Ctrashed%2CexplicitlyTrashed%2CmodifiedTime%2CcreatedTime%2CmimeType%2Cparents%2CwebViewLink%2CshortcutDetails%2CexportLinks%2CresourceKey&keepRevisionForever=false&prettyPrint=false&supportsAllDrives=true&uploadType=multipart": googleapi: Copy failed: can't copy - source file is being updated (size changed from 2431 to 2504)
2025/03/03 17:04:29 INFO  : gDrive-Rclone/Linux/rcl-032025.log: Copied (new)
2025/03/03 17:04:30 INFO  : gDrive-Rclone/Linux: Set directory modification time (using SetModTime)
2025/03/03 17:04:31 INFO  : gDrive-Rclone: Set directory modification time (using SetModTime)
2025/03/03 17:04:31 ERROR : Attempt 2/3 succeeded
2025/03/03 17:04:31 INFO  : 
Transferred:   	  490.288 KiB / 490.288 KiB, 100%, 8.474 KiB/s, ETA 0s
Checks:                41 / 41, 100%
Transferred:           42 / 42, 100%
Elapsed time:        56.8s

